Version,Target,Damage,Alias,Region,Characters,Notes
2.2,Floor 12-2-1,2750723,"<a href=""https://www.youtube.com/watch?v=_Zh-dU6PROA"">Molen Renyah</a>",Asia,Eula Raiden Klee Bennett,Elemental Burst
2.3,Floor 10-2-1,2212036,"<a href=""https://youtube.com/watch?v=eRGmzCThOpI&feature=share"">Hex</a>",Asia,Eula Zhongli Bennett Lisa,Elemental Burst
2.2,Floor 7-2-1,1840661,"<a href=""https://www.youtube.com/watch?v=28nU_bcgyN8"">Rye</a>",Asia,Hutao Sucrose Mona Bennett,Elemental Burst
2.2,Floor 7-3-1,1734081,"<a href=""https://www.youtube.com/watch?v=2wSQ8GHi8GI"">yuno_life</a>",Asia,Eula Mona Bennett Raiden,Elemental Burst
2.2,Floor 7-3-2,1727646,"<a href=""https://www.youtube.com/watch?v=mS5jCwPUiJo"">そうま綾小路</a>",Asia,Mona Diluc Sucrose Bennett,Elemental Burst
2.3,Floor 7-3-1,1706334,"<a href=""https://www.youtube.com/watch?v=q8-vGzDrm-8"">Skizdal</a>",Europe,Eula Mona Bennett Lisa,Elemental Burst
2.3,Floor 7-2-1,1648198,"<a href=""https://www.youtube.com/watch?v=Ri_c8NKf84E"">Edegar Pereira</a>",America,HuTao Bennett Sucrose Mona,Elemental Burst
2.1,Floor 7-3-1,1571462,"<a href=""https://www.youtube.com/watch?v=EVoHew6aTeU"">yuno_life</a>",Europe,Eula Mona Bennett Raiden,Elemental Burst
2.3,Floor 12-2-2,1554556,"<a href=""https://www.youtube.com/watch?v=XWvPMCHP8JQ"">Angelius</a>",America,Eula Raiden Bennett Zhongli,Elemental Burst
2.2,Floor 7-2-1,1542250,"<a href=""https://www.youtube.com/watch?v=MUM7sgtOTUU"">Rae</a>",Asia,Hutao Bennett Mona Sucrose,Elemental Burst
2.1,Floor 7-2-1,1514274,"<a href=""https://www.youtube.com/watch?v=xdFgKcpMGsA&ab_channel=Zexxceed"" rel=""noopener"" target=""_blank"">Zexxceed</a>",Asia,Hutao Mona Bennett Sucrose,Elemental Burst
2.2,Floor 7-2-1,1508605,"<a href=""https://www.youtube.com/watch?v=XkvXABuwtms"">chymchym1905</a>",Asia,Mona Yanfei Sucrose Bennett,Elemental Burst
2.2,Floor 7-2-1,1507232,"<a href=""https://www.youtube.com/watch?v=S7oRrLccjdk"">Tunish</a>",Europe,Hutao Bennett Sucrose Mona,Elemental Burst
2.3,Floor 7-2-1,1507232,"<a href=""https://youtu.be/S7oRrLccjdk"">Tunish</a>",Europe,HuTao Bennett Sucrose Mona,Elemental Burst
2.2,Floor 7-2-1,1449144,"<a href=""https://www.youtube.com/watch?v=wEO9Jg5h1s0"">Echo</a>",Europe,Hutao Sucrose Mona Bennett,Elemental Burst
2.2,Floor 7-3-1,1427072,"<a href=""https://www.youtube.com/watch?v=kfA7TLYB2ak"">yuno_life</a>",Asia,Mona Sucrose Albedo Bennett,Elemental Burst
2.1,Floor 7-2-1,1231586,"<a href=""https://www.youtube.com/watch?v=9-q--TX-xqE"">Rae</a>",Asia,Hutao Bennett Mona Sucrose,Elemental Burst
2.2,Floor 7-2-1,1209485,"<a href=""https://www.youtube.com/watch?v=Q4bG0owGXjE"">AraAra Sayonara(¬‿¬ )</a>",Europe,Hutao Bennett Mona Sucrose,Elemental Burst
2.1,Floor 12-3-2,1184389,"<a href=""https://www.youtube.com/watch?v=E9o60I2R5lQ"">Jilanow</a>",Europe,Raiden Kazuha Sara Bennett,Elemental Burst
2.2,Floor 7-2-1,1170616,"<a href=""https://www.youtube.com/watch?v=W28jRV4KjSk"">emboh</a>",Asia,Hutao Mona Sucrose Bennett,Elemental Burst
2.2,Floor 12-2-1,1153924,"<a href=""https://www.youtube.com/watch?v=bFilZ_Bt-nk"">Quinner55</a>",America,Tartaglia Bennett Kazuha Amber,Elemental Burst
2.2,Floor 7-3-1,1135599,"<a href=""https://www.youtube.com/watch?v=-BX_ZrwtZMk"">Z σ σ Ғ</a>",Asia,Tartaglia Sucrose Bennett Mona,Elemental Burst
2.2,Floor 11-2-2,1120688,"<a href=""https://www.youtube.com/watch?v=uRZ8A1uGahM"">Tz_</a>",Asia,Eula Raiden Mona Bennett,Elemental Burst
2.1,Floor 7-2-1,1115327,"<a href=""https://www.youtube.com/watch?v=r23gjzFQktk"">Rae</a>",Asia,Tartaglia Bennett Mona Sucrose,Elemental Burst
2.2,Floor 7-1-1,1056292,"<a href=""https://www.youtube.com/watch?v=jniq8YFEePo"">86U</a>",Europe,Mona Sucrose Bennett Yanfei,Elemental Burst
2.2,Floor 7-2-1,1051472,"<a href=""https://www.youtube.com/watch?v=MPBxF4FzdY8"">alpi</a>",Asia,Mona Sucrose Bennett Yanfei,Elemental Burst
