Version,Target,Damage,Alias,Region,Characters,Notes
2.3,Energy Amplifier Fruition,5356315,"<a href=""https://www.youtube.com/watch?v=G9PxFw6Ep5k"">Hex</a>",Asia,Eula Lisa Bennett Xinyan,"Elemental Burst
Food Buffs"
2.3,Energy Amplifier Fruition,5214511,"<a href=""https://www.youtube.com/watch?v=M6xf-N9ufqs"">iSilas</a>",Europe,Eula Xinyan Bennett Lisa,"Elemental Burst
Food Buffs"
2.3,Energy Amplifier Fruition,5169681,"<a href=""https://www.youtube.com/watch?v=eOvhqQbizIQ"">ARMMANII</a>",Asia,Eula Xinyan Lisa Bennett,"Elemental Burst
Food Buffs"
2.3,Energy Amplifier Fruition,4984453,"<a href=""https://youtu.be/G8YRIhESsxA"">MalCoa</a>",Asia,Eula Bennett Xinyan Lisa,"Elemental Burst
Food Buff"
2.3,Energy Amplifier Fruition,4035080,"<a href=""https://youtube.com/watch?v=nP4eynTvRpo&feature=share"">Hex</a>",Asia,Eula Lisa Bennett Xinyan,"Elemental Burst
Food Buff"
2.3,Energy Amplifier Fruition,2781628,"<a href=""https://www.youtube.com/watch?v=nz1CvVULIL8"">Bossam</a>",America,Tartaglia Mona Bennett Kazuha,"Elemental Burst
Food Buffs
Coop"
2.3,Kageroumaru,2586004,"<a href=""https://www.youtube.com/watch?v=yj6HzMp6fbo"">Hex</a>",Asia,Eula Zhongli Bennett Lisa,"Elemental Burst
Food Buffs"
2.3,Energy Amplifier Fruition,2466389,"<a href=""https://www.youtube.com/watch?v=TYDfB6nA-ro"">Onyx</a>",Asia,Hutao Bennett Kazuha Diona,"Elemental Burst
Food Buffs
Coop"
2.3,Fellflower,2429728,"<a href=""https://www.youtube.com/watch?v=BoWYSuFpRnc"">Hex</a>",Asia,Eula Raiden Bennett Xinyan,"Elemental Burst
Food Buffs"
2.3,Energy Amplifier Fruition,2385601,"<a href=""https://www.youtube.com/watch?v=HJUgpZ7K448"">Smokeyy</a>",Asia,Hutao Bennett Ayaka Kazuha,"Elemental Burst
Food Buffs
Coop"
2.3,Energy Amplifier Fruition,2238706,"<a href=""https://www.youtube.com/watch?v=VpTGOXpntIc"">soy milk</a>",America,Tartaglia Mona Bennett Kazuha,"Elemental Burst
Food Buffs
Coop"
2.3,Energy Amplifier Fruition,2208459,"<a href=""https://www.youtube.com/watch?v=ckrwp8qIM-w"">chymchym1905</a>",Asia,Mona Sucrose Bennett Zhongli,"Elemental Burst
Food Buffs
Coop"
2.3,Energy Amplifier Fruition,2120490,"<a href=""https://www.youtube.com/watch?v=Fq8Cy8ORxMw"">soy milk</a>",America,Tartaglia Mona Bennett Kazuha,"Elemental Burst
Food Buffs
Coop"
1.6,Vagabond Sword,2118622,"<a href=""https://www.youtube.com/watch?v=AV3htQ4AiaU"">riceman89</a>",America,Eula Lisa Zhongli Bennett,Elemental Burst
2.3,Energy Amplifier Fruition,2080265,"<a href=""https://www.youtube.com/watch?v=xbT5Ma7hlSE"">joseph</a>",America,Mona Zhongli Sucrose Bennett,"Elemental Burst
Food Buffs"
2.3,Energy Amplifier Fruition,2048846,"<a href=""https://www.youtube.com/watch?v=0hwZb21ip5s"">masonrapa</a>",Europe,Hutao Bennett Kazuha Diona,"Elemental Burst
Food Buffs"
2.3,Energy Amplifier Fruition,2007556,"<a href=""https://www.youtube.com/watch?v=ev9MyfGWgmg"">Seskiboii</a>",Asia,Mona Sucrose Zhongli Bennett,"Elemental Burst
Food Buffs
Coop"
2.3,Energy Amplifier Fruition,1990336,"<a href=""https://www.youtube.com/watch?v=-uX-freJHFA"">Tunish</a>",Europe,Hutao Bennett Diona Sucrose,"Elemental Burst
Food Buffs"
2.3,Energy Amplifier Fruition,1977447,"<a href=""https://www.youtube.com/watch?v=RoNtQscwShw"">Unoire-</a>",Asia,Tartaglia Mona Bennett Kazuha,"Elemental Burst
Food Buffs
Coop"
2.3,Energy Amplifier Fruition,1932187,"<a href=""https://www.youtube.com/watch?v=mPfcQxVVIYk"">masonrapa</a>",Europe,Hutao Bennet Kazuha Diona,"Elemental Burst
Food Buffs
Coop"
2.3,Energy Amplifier Fruition,1922797,"<a href=""https://www.youtube.com/watch?v=5ATA5LIqSO8"">Skizdal</a>",Europe,Mona Ningguang Bennett Sucrose,"Elemental Burst
Food Buffs"
2.3,Energy Amplifier Fruition,1814288,"<a href=""https://www.youtube.com/watch?v=gAkHxi2AHjc"">Tunish</a>",Europe,Hutao Bennett Diona Sucrose,"Elemental Burst
Food Buffs"
2.3,Energy Amplifier Fruition,1783615,"<a href=""https://www.youtube.com/watch?v=TWF8KZXCHSw"">影</a>",Asia,Raiden Sara Bennett Kazuha,"Elemental Burst
Food Buffs
Coop"
2.3,Energy Amplifier Fruition,1763983,"<a href=""https://www.youtube.com/watch?v=ckGdzlO5hfw"">Seskiboii</a>",Asia,Mona Sucrose Bennett Yanfei,"Elemental Burst
Food Buffs"
2.2,Labyrinth Warriors,1750532,"<a href=""https://www.youtube.com/watch?v=mCtZTpfVOJ8"">Zexxceed</a>",Asia,Hutao Mona Bennett Kazuha,Elemental Burst
2.3,Energy Amplifier Fruition,1721169,"<a href=""https://www.youtube.com/watch?v=GzfMuqx1U6g"">Unoire-</a>",Asia,Tartaglia Mona Bennett Kazuha,"Elemental Burst
Food Buffs"
2.3,Energy Amplifier Fruition,1712985,"<a href=""https://www.youtube.com/watch?v=2NoccUdumW8"">GrandPriest77</a>",Asia,Eula Lisa Bennett Zhongli,"Elemental Burst
Food Buffs"
2.3,Energy Amplifier Event,1707239,"<a href=""https://youtu.be/KiJF0c5rAQQ"">CooL OP</a>",Asia,"Mona, Kazuha, Bennett","Elemental Burst, Food Buffs, Stunned, Co op"
2.3,Energy Amplifier Fruition,1694584,"<a href=""https://www.youtube.com/watch?v=WIO0fqZ-HuQ"">kiraa</a>",Asia,Hutao Bennett Kazuha Diona,"Elemental Burst
Food Buffs
Coop"
2.3,Energy Amplifier Fruition,1632704,"<a href=""https://www.youtube.com/watch?v=Sw7cBosgDe0"">Skizdal</a>",Europe,Tartaglia Mona Bennett Sucrose,"Elemental Burst
Food Buffs"
2.3,Energy Amplifier Fruition,1626835,"<a href=""https://www.youtube.com/watch?v=4ST3RM_a670"">alpi</a>",Asia,Mona Sucrose Bennett Yanfei,"Elemental Burst
Food Buffs"
2.3,Energy Amplifier Fruition,1545263,"<a href=""https://www.youtube.com/watch?v=tnAFYFaxE7A"">Zades</a>",America,Raiden Sara Kazuha Bennett,"Elemental Burst
Food Buffs"
2.3,Energy Amplifier Fruition,1400465,"<a href=""https://www.youtube.com/watch?v=rOrXlJhOnn8"">Yuu</a>",Asia,Tartaglia Bennett Sucrose Mona,"Elemental Burst
Food Buffs"
2.3,Energy Amplifier Fruition,1305904,"<a href=""https://www.youtube.com/watch?v=y-ZYba92hBM"">n0ah</a>",Asia,Hutao Bennett Diona Kazuha,"Elemental Burst
Food Buffs"
2.3,Energy Amplifier Fruition,1249971,"<a href=""https://www.youtube.com/watch?v=gi97gEUnukA"">Kaguya</a>",Asia,Eula Mona Xinyan Bennett,"Elemental Burst
Food Buffs
Coop"
2.3,Energy Amplifier Fruition,1203932,"<a href=""https://www.youtube.com/watch?v=Z-5_83qBACE"">Kamado Diozuko</a>",Asia,Hutao Bennett Kazuha Mona,"Elemental Burst
Food Buffs"
2.3,Energy Amplifier Fruition,1056008,"<a href=""https://www.youtube.com/watch?v=NyO4ta6BmWE"">Mighty</a>",Asia,Hutao Sucrose Bennett Mona,"Elemental Burst
Food Buffs
Coop"
2.3,Energy Amplifier Fruition,1014440,"<a href=""https://www.youtube.com/watch?v=fkQ8GVquR5A"">ARMMANII</a>",Asia,Zhongli Itto Gorou Bennett,"Elemental Burst
Food Buffs"
2.3,Energy Amplifier Fruition,1009475,"<a href=""https://www.youtube.com/watch?v=eVMD3DLUjWg"">Kaguya</a>",Asia,Tartaglia Sucrose Bennett Mona,"Elemental Burst
Food Buffs"
2.3,Energy Amplifier Fruition,917922,"<a href=""https://www.youtube.com/watch?v=8qWVsUXfFyU"">luna</a>",America,"Eula, Kazuha, Bennett, Mona","Elemental Burst Slash
Food Buffs"
2.3,Energy Amplifier Fruition,910748,"<a href=""https://www.youtube.com/watch?v=mhtX-Pflv6I"">Tunish</a>",Europe,Bennett Diona Sucrose Mona,"Elemental Burst
Food Buffs"
2.3,Energy Amplifier Fruition,652996,"<a href=""https://www.youtube.com/watch?v=5cTsIRM-Btw"">影</a>",Asia,Lisa Sara Kazuha Bennett,"Elemental Skill Hold
Food Buffs"
2.3,Energy Amplifier Fruition,504514,"<a href=""https://www.youtube.com/watch?v=DF8cAgYTIzY"">Shintenzu</a>",Europe,Xiao Diona Bennett Kazuha,"Plunge Attack
Food Buffs"
2.3,Energy Amplifier Fruition,204228,"<a href=""https://www.youtube.com/watch?v=LZUKPZ76IwU"">Bossam</a>",America,Ayaka Bennett Sayu Mona,"Elemental Burst Tick
Food Buffs"
2.3,Energy Amplifier Fruition,78089,"<a href=""https://www.youtube.com/watch?v=BQ093Pt8JaU"">Cnolii</a>",America,Noelle Gorou GeoMC Bennett,"Elemental Skill
Food Buffs"
