Version,Challenge,Time,Alias,Region,Characters,Notes
1.6,Day 7,00:04:07,"<a href=""https://www.youtube.com/watch?v=HHmNbEwVP6Y"" rel=""noopener"" target=""_blank"">Misha Lune</a>",Europe,Hutao Kazuha Zhongli Bennett,
1.6,Day 7,00:04:17,"<a href=""https://www.youtube.com/watch?v=-jMEiKLxJQ8"" rel=""noopener"" target=""_blank"">Aliss</a>",America,Ganyu Kazuha Bennett Zhongli,
1.6,Day 7,00:04:47,"<a href=""https://youtu.be/TXDGdhg1BqQ"" rel=""noopener"" target=""_blank"">Tony To</a>",China,Zhongli Hutao Kazuha Bennett,
1.6,Day 7,00:07:17,"<a href=""https://www.youtube.com/watch?v=dRmOcAexj9c"" rel=""noopener"" target=""_blank"">IWinToLose</a>",America,Zhongli Albedo Fischl Qiqi,
"1.6 ",Day 6,00:00:05,"<a href=""https://www.youtube.com/watch?v=YQpQIUCt03k"" rel=""noopener"" target=""_blank"">SSSawamura</a>",China,Eula Zhongli Lisa Bennett,
1.6,Day 6,00:00:05,"<a href=""https://www.youtube.com/watch?v=H6FQ271V1Es&t=6s"" rel=""noopener"" target=""_blank"">Misha Lune</a>",Europe,Eula Lisa Zhongli Bennett,
1.6,Day 5,00:00:21,"<a href=""https://www.youtube.com/watch?v=YQpQIUCt03k"" rel=""noopener"" target=""_blank"">SSSawamura</a>",China,Ningguang Hutao Zhongli Bennett,
1.6,Day 5,00:00:21,"<a href=""https://www.youtube.com/watch?v=H6FQ271V1Es&t=6s"" rel=""noopener"" target=""_blank"">Misha Lune</a>",Europe,Zhongli Ningguang Hutao Bennett,
1.6,Day 4,00:00:12,"<a href=""https://www.youtube.com/watch?v=YQpQIUCt03k"" rel=""noopener"" target=""_blank"">SSSawamura</a>",China,Eula Klee Lisa Bennett,
1.6,Day 4,00:00:12,"<a href=""https://www.youtube.com/watch?v=H6FQ271V1Es&t=6s"" rel=""noopener"" target=""_blank"">Misha Lune</a>",Europe,Eula Lisa Zhongli Bennett,
1.6,Day 3,00:00:05,"<a href=""https://www.youtube.com/watch?v=YQpQIUCt03k"" rel=""noopener"" target=""_blank"">SSSawamura</a>",China,Eula Zhongli Lisa Bennett,
1.6,Day 3,00:00:05,"<a href=""https://www.youtube.com/watch?v=H6FQ271V1Es&t=6s"" rel=""noopener"" target=""_blank"">Misha Lune</a>",Europe,Eula Lisa Zhongli Bennett,
"1,6",Day 3,00:00:17,"<a href=""https://youtu.be/uGnRqRILf2Q"" rel=""noopener"" target=""_blank"">LACola</a>",Asia,Mona Zhongli Kazuha Bennett,
1.6,Day 2,00:00:18,"<a href=""https://www.youtube.com/watch?v=YQpQIUCt03k"" rel=""noopener"" target=""_blank"">SSSawamura</a>",China,Zhongli Albedo Bennett Hutao,
1.6,"Day 2 ",00:00:18,"<a href=""https://www.youtube.com/watch?v=H6FQ271V1Es&t=6s"" rel=""noopener"" target=""_blank"">Misha Lune</a>",Europe,Zhongli Albedo Hutao Bennett,
1.6,Day 2,00:00:30,"<a href=""https://youtu.be/uGnRqRILf2Q"" rel=""noopener"" target=""_blank"">LACola</a>",Asia,Eula Hutao Ganyu Bennett,
1.6,Day 1,00:00:12,"<a href=""https://www.youtube.com/watch?v=H6FQ271V1Es&t=6s"" rel=""noopener"" target=""_blank"">Misha Lune</a>",Europe,Eula Lisa Zhongli Bennett,
"1.6 ",Day 1,00:00:13,"<a href=""https://www.youtube.com/watch?v=YQpQIUCt03k"" rel=""noopener"" target=""_blank"">SSSawamura</a>",China,Klee Eula Lisa Bennett,
1.6,Day 1,00:00:14,"<a href=""https://youtu.be/uGnRqRILf2Q"" rel=""noopener"" target=""_blank"">LACola</a>",Asia,Eula Lisa Klee Bennett,
,,,,,,
