Version,Challenge,Time,Alias,Region,Characters,Notes
2.3,Day 3,0:25,"<a href=""https://b23.tv/6NnTc4L"">Ushio</a>",China,Yoimiya Bennett Jean Zhongli,Food Buff
2.3,Day 3,0:26,"<a href=""https://youtu.be/GzoHumnfZUM"">IWinToLose</a>",America,Raiden Zhongli Sara Bennett,Food Buff
2.3,Day 3,0:30,"<a href=""https://youtu.be/EL5lA19EdtA"">Shaft_HeadTilt</a>",Europe,Yoimiya Zhongli Bennett Kazuha,Food Buff
2.3,Day 3,0:31,"<a href=""https://youtu.be/W3v8OEcJiW8"">IWinToLose</a>",America,Yoimiya Ayaka Kazuha Bennett,Food Buff
2.3,Day 3,0:33,"<a href=""https://youtu.be/4A_kLtENb8w"">Misha Lune</a>",Europe,Itto Bennett Zhongli Gorou,Food Buff
2.3,Day 3,0:34,"<a href=""https://youtu.be/ThtEnB60Btw"">Misha Lune</a>",Europe,Itto Gorou Bennett Zhongli,Food Buff
2.3,Day 3,0:44,"<a href=""https://youtu.be/dNn9-FQ7ZCQ"">Zades</a>",America,Ayaka Raiden Diona Bennett,Food Buff
2.3,Day 3,0:46,"<a href=""https://youtu.be/d_hz8wftTEU"">Memu</a>",Europe,Raiden Kazuha Bennett Sara,Food Buff
2.3,Day 3,0:46,"<a href=""https://youtu.be/rxnQEoSrCkk"">kilenspi</a>",Europe,Tartaglia Bennett Kazuha Xiangling,Food Buff
2.3,Day 3,0:47,"<a href=""https://youtu.be/aDlSDxnZWA0"">Shaft_HeadTilt</a>",Europe,Yoimiya Xinqiu Kazuha Bennett,Food Buff
2.3,Day 3,0:50,"<a href=""https://youtu.be/wgIJeeaym7k"">pewpew</a>",Europe,Raiden Bennett Xinqiu Xiangling,Food Buff
2.3,Day 3,0:50,"<a href=""https://youtu.be/4KiqMP2E5Ic"">kilenspi</a>",Europe,Tartaglia Bennett Kazuha Xiangling,Food Buff
2.3,Day 3,0:53,"<a href=""https://youtu.be/N8gXyhCiwiA"">LACola</a>",Asia,Mona Bennett Kazuha Xiangling,Food Buff
2.3,Day 3,0:55,"<a href=""https://youtu.be/ibwoqi1Tm3U"">MidnightMax.TH</a>",Asia,Kazuha Bennett Xiangling Tartaglia,
