Version,Challenge,Time,Alias,Region,Characters,Notes
2.4,Day 3 Stage 4,0:00:04,"<a href=""https://youtu.be/f1UqeVX5N34"">Gemma</a>",Europe,Ganyu Klee Bennett Kazuha,Normal
2.4,Day 3 Stage 4,0:00:04,"<a href=""https://youtu.be/9eCEUgn7c24"">MidnightMax.TH</a>",Asia,Tartaglia Kazuha Xiangling Bennett,Normal
2.4,Day 3 Stage 4,0:00:04,"<a href=""https://youtu.be/XQ6Fth3Jtw0"">Aias</a>",Asia,Xiao Jean Lisa Bennett,Normal
2.4,Day 3 Stage 4,0:00:05,"<a href=""https://youtu.be/ile2EgR7M8A"">Aimz</a>",Asia,Tartaglia Kazuha Xiangling Bennett,Normal
2.4,Day 3 Stage 4,0:00:05,"<a href=""https://youtu.be/TSCr0oXWA6A"">MidnightMax.TH</a>",Asia,Tartaglia Kazuha Xiangling Bennett,Normal
2.4,Day 3 Stage 4,0:00:05,"<a href=""https://youtu.be/9JW58xT0CdY"">主人</a>",America,Ayaka Shenhe Eula Hutao,Normal
2.4,Day 3 Stage 4,0:00:05,"<a href=""https://youtu.be/3aGjgMnow7A"">Seres</a>",America,Tartaglia Kazuha Xiangling Bennett,Normal
2.4,Day 3 Stage 4,0:00:05,"<a href=""https://youtu.be/x0mg-E6HVmY"">Aias</a>",Asia,Xiao Jean Lisa Bennett,Normal
2.4,Day 3 Stage 4,0:00:05,"<a href=""https://youtu.be/659mnOjbVHo"">dudcom</a>",America,Tartaglia Sucrose Xiangling Bennett,Normal
2.4,Day 3 Stage 4,0:00:06,"<a href=""https://youtu.be/wwZeb8dKhiA"">rayn</a>",Asia,Tartaglia Sucrose Xiangling Bennett,Normal
2.4,Day 3 Stage 4,0:00:06,"<a href=""https://youtu.be/4J4pqdR-AXw"">arashi</a>",America,Tartaglia Sucrose Xiangling Bennett,Normal
2.4,Day 3 Stage 4,0:00:06,"<a href=""https://youtu.be/bDT49xi4esA"">dudcom</a>",America,Tartaglia Sucrose Xiangling Bennett,Normal
2.4,Day 3 Stage 4,0:00:06,"<a href=""https://youtu.be/y9U2FrDkU1o"">Namm</a>",Asia,Tartaglia Beidou Xiangling Bennett,Normal
2.4,Day 3 Stage 4,0:00:07,"<a href=""https://youtu.be/mFIAQarEhcY"">Masonsita</a>",Europe,Tartaglia Kazuha Xiangling Bennett,Normal
2.4,Day 3 Stage 4,0:00:07,"<a href=""https://youtu.be/ZN1bfyPCyYw"">Dispoverychannel</a>",Europe,Raiden Sara Kazuha Bennett,Normal
2.4,Day 3 Stage 4,0:00:08,"<a href=""https://youtu.be/K3ioZk6PVW0"">Chiara</a>",Europe,Xiao Zhongli Xiangling Bennett,Normal
2.4,Day 3 Stage 4,0:00:08,"<a href=""https://youtu.be/r1kJWVq5KTY"">dudcom</a>",America,Xiao Zhongli Lisa Bennett,Normal
2.4,Day 3 Stage 4,0:00:08,"<a href=""https://youtu.be/j4cGD1eltd0"">LACola</a>",Asia,Mona Xiangling Kazuha Bennett,Normal
2.4,Day 3 Stage 4,0:00:09,"<a href=""https://youtu.be/njsDRt4bFXU"">rayn</a>",Asia,Xiao Sucrose Xiangling Bennett,Normal
2.4,Day 3 Stage 4,0:00:10,"<a href=""https://youtu.be/Ju7nAFA4KLI"">Mashizzung</a>",Asia,"Raiden Jean Venti Sara ",Hard
2.4,Day 3 Stage 4,0:00:10,"<a href=""https://youtu.be/IsAofPxj1Yg"">dudcom</a>",America,Xiao Zhongli Bennett Lisa,Normal
2.4,Day 3 Stage 4,0:00:10,"<a href=""https://youtu.be/pGLddqMU-tI"">Gnumo</a>",America,Hutao Xinqiu Kazuha Sucrose,Normal
2.4,Day 3 Stage 4,0:00:10,"<a href=""https://youtu.be/HQ6C_BwNE7A"">Yerriff</a>",America,Xiao Ganyu Ayaka Bennett,Normal
2.4,Day 3 Stage 4,0:00:11,"<a href=""https://youtu.be/QullkdQr3-E"">Seskiboii</a>",Asia,Tartaglia Sucrose Xiangling Bennett,Normal
2.4,Day 3 Stage 4,0:00:12,"<a href=""https://youtu.be/98beu6GNWxg"">rayn</a>",Asia,Tartaglia Sucrose Xianlging Bennett,Extreme
2.4,Day 3 Stage 4,0:00:16,"<a href=""https://youtu.be/P4cdvrwC--A"">Dispoverychannel</a>",Europe,Raiden Sara Kazuha Bennett,Fearless
2.4,Day 3 Stage 4,0:00:17,"<a href=""https://youtu.be/gj8ZMoYRCFM"">Aias</a>",Asia,Xiao,Normal
2.4,Day 3 Stage 4,0:00:18,"<a href=""https://youtu.be/ytp4FM4z7nA"">dudcom</a>",America,Tartaglia Sucrose Xiangling Bennett,Fearless
2.4,Day 3 Stage 4,0:00:19,"<a href=""https://youtu.be/D9XrtBxZ5lg"">EL3kTr1C</a>",America,Noelle Gorou Albedo Bennett,Normal
2.4,Day 3 Stage 4,0:00:22,"<a href=""https://youtu.be/vDg2GDwBtKY"">rayn</a>",Asia,Tartaglia Sucrose Xiangling Bennett,Fearless
2.4,Day 3 Stage 4,0:00:23,"<a href=""https://youtu.be/pbRiSVk7ljo"">pikachuwei</a>",Asia,Xiao Zhongli Jean Bennett,Fearless
2.4,Day 3 Stage 4,0:00:24,"<a href=""https://youtu.be/EEKSoUwhrLA"">Truedew</a>",America,Itto Zhongli Gorou Albedo,Normal
2.4,Day 3 Stage 4,0:00:24,"<a href=""https://youtu.be/scekJQXF0Qg"">Shintenzu</a>",Europe,Xiao Jean Zhongli Bennett,Fearless
2.4,Day 3 Stage 4,0:00:26,"<a href=""https://youtu.be/mQnr-h7ikQk"">Chiara</a>",Europe,Raiden Sara Venti Bennett,Fearless
