Version,Target,Damage,Alias,Region,Characters,Notes
2.3,Masanori,3411607,"<a href=""https://www.youtube.com/watch?v=I5JBzsH9VkI"">Hex</a>",Asia,Eula Bennett Lisa Xinyan,"Elemental Burst
Food Buffs"
2.,Masanori,3344747,"<a href=""https://www.youtube.com/watch?v=2IlM8t8pPuo"">MalCoa</a>",Asia,Eula Bennet Raiden Mona,"Elemental Burst
Food Buffs"
2.3,Masanori,3117370,"<a href=""https://youtu.be/UrL5zBqPfRI"">Zades</a>",America,Eula Mona Bennett Raiden,"Elemental Burst
Food Buff"
2.3,Masanori,3087190,"<a href=""https://youtu.be/oHHlrGJBW28"">iSilas</a>",Europe,Eula Xinyan Bennett Lisa,"Elemental Burst
Food Buff"
2.3,Masanori,2934766,"<a href=""https://youtube.com/watch?v=MBYIT1ulUOk&feature=share"">Hex</a>",Asia,Eula Lisa Bennett Xinyan,"Elemental Burst
Food Buff"
2.3,Masanori,2793533,"<a href=""https://www.youtube.com/watch?v=bK4Kav-Ogxc"">Hex</a>",Asia,Eula Lisa Bennett Xinyan,"Elemental Burst
Food Buffs"
2.1,Perpetual Mechanical Array,1850185,"<a href=""https://www.youtube.com/watch?v=R1UICAyky7k&ab_channel=Solvi%28Kacodo%29"" rel=""noopener"" target=""_blank"">Solvi</a>",America,Hutao Bennett Kazuha Ayaka,"Elemental Burst
Downed State"
2.3,Masanori,1632175,"<a href=""https://www.youtube.com/watch?v=y42ao5zgcPA"">Tz_</a>",Asia,Eula Raiden Mona Bennett,"Elemental Burst
Food Buffs"
2.3,Electrohammer Vanguard,1537690,"<a href=""https://www.youtube.com/watch?v=2oOohLAikC4&t=1s"">ARMMANII</a>",Asia,Eula,"Elemental Burst
Food Buffs
Solo"
2.2,Perpetual Mechanical Array,1494927,"<a href=""https://www.youtube.com/watch?v=_ISPzoBLfhc"">SHOPCHZ</a>",Asia,Mona Klee Kazuha Bennett,"Elemental Burst
Food Buffs
Downed State
Coop"
2.2,Masanori,1464381,"<a href=""https://www.youtube.com/watch?v=8iqonumLYNQ"">Td</a>",America,Eula Raiden Mona Bennett,"Elemental Burst
Food Buffs"
2.1,Perpetual Mechanical Array,1424021,"<a href=""https://www.youtube.com/watch?v=G-FvG3Sxsvs"">LACola</a>",Asia,Mona Klee Kazuha Bennett,"Elemental Burst
Food Buff
Downed State"
2.3,Masanori,1125868,"<a href=""https://www.youtube.com/watch?v=L59PDfMiTc0"">Zenryou Keiya</a>",Asia,Eula Bennett Xinyan Lisa,"Elemental Burst
Food Buffs"
2.2,Masanori,1109621,"<a href=""https://www.youtube.com/watch?v=XrpJ-IvUiYU"">Skizdal</a>",Europe,Eula Mona Bennett Lisa,"Elemental Burst
Food Buffs"
2.2,Masanori,1097145,"<a href=""https://www.youtube.com/watch?v=cYEMdTuD9bw"">Tz_</a>",Asia,Eula Raiden Lisa Bennett,"Elemental Burst
Food Buff"
2.1,Perpetual Mechanical Array,1058933,"<a href=""https://www.youtube.com/watch?v=YA2z2GoILAs"">Zades</a>",America,Raiden Sara Bennett Kazuha,"Elemental Burst
Food Buff
Downed State"
2.2,Masanori,1037024,"<a href=""https://www.youtube.com/watch?v=OgV4yHxDoF8"">chattopotato</a>",Asia,Eula Raiden Bennett Mona,"Elemental Burst
Food Buff"
2.2,Masanori,1036856,"<a href=""https://www.youtube.com/watch?v=SBXbdPZDQwc"">Tz_</a>",Asia,Eula Mona Bennett Raiden,"Elemental Burst
Food Buffs"
2.3,Masanori,1009873,"<a href=""https://youtu.be/xjW8-oZZtn0"">CooL OP</a>",Asia,Eula Mona Bennett Raiden,"Elemental Burst
Food Buff"
2.1,Perpetual Mechanical Array,1008205,"<a href=""https://youtu.be/q_-SzSuAOaw"" rel=""noopener"" target=""_blank"">Jilanow</a>",Europe,Raiden Kazuha Sara Bennett,"Elemental Burst
Downed State"
2.2,Masanori,1004914,"<a href=""https://www.youtube.com/watch?v=wrltDr1poa0"">Tz_</a>",Asia,Eula Raiden Mona Bennett,Elemental Burst
2.3,Masanori,1001791,"<a href=""https://www.youtube.com/watch?v=-DxUAiyBKTE"">Tunish</a>",Europe,Eula Raiden Bennett Mona,"Elemental Burst
Food Buffs"
2.3,Perpetual Mechanical Array,904423,"<a href=""https://www.youtube.com/watch?v=PIsHrRJBadg"">T E R R Y</a>",Asia,Tartaglia Sucrose Bennett Mona,"Elemental Burst
Food Buffs
Downed State"
2.3,Masanori,902919,"<a href=""https://www.youtube.com/watch?v=DKSTew8XmnY"">Bloofy</a>",Asia,Eula Klee Raiden Bennett,"Elemental Burst
Food Buffs"
2.2,Perpetual Mechanical Array,834206,"<a href=""https://www.youtube.com/watch?v=BaK8qcQY6Rc"">Shingetsu</a>",Asia,Raiden Sara Bennett Sucrose,"Elemental Burst
Food Buff
Downed State"
2.1,Perpetual Mechanical Array,821317,"<a href=""https://www.youtube.com/watch?v=drSzkej_Blk"">Zippers</a>",Europe,Raiden Kazuha Bennett Sara,"Elemental Burst
Downed State
Food Buffs"
2.2,Perpetual Mechanical Array,783686,"<a href=""https://www.youtube.com/watch?v=-BX_ZrwtZMk"">Z σ σ Ғ</a>",Asia,Tartaglia Sucrose Bennett Mona,"Elemental Burst
Food Buffs
Downed State"
2.1,Perpetual Mechanical Array,735407,"<a href=""https://www.youtube.com/watch?v=19J4u9Pj-vQ"">Lymania</a>",Europe,Raiden Kazuha Sara Bennett,"Elemental Burst
Downed State
Food Buffs"
2.3,Cyro Regisvine,684468,"<a href=""https://www.youtube.com/watch?v=pGl4LFwW6GY"">25w</a>",Asia,Hutao Chongyun Bennett Sucrose,"Elemental Burst
Food Buffs"
2.2,Pyro Regisvine,658657,"<a href=""https://www.youtube.com/watch?v=-BX_ZrwtZMk"">Z σ σ Ғ</a>",Asia,Tartaglia Sucrose Bennett Mona,"Elemental Burst
food Buffs"
2.3,Perpetual Mechanical Array,634158,"<a href=""https://www.youtube.com/watch?v=sfRBaD2ULmI"">BoSSam</a>",America,Zhongli Bennett Mona Noelle,"Elemental Burst
Food Buff"
2.2,MIitachurl,632853,"<a href=""https://www.youtube.com/watch?v=i8SrQ15qqEM"">L</a>",America,Rosaria Sucrose Mona Bennett,"Plunge Attack
Bounty
Food Buffs
Coop"
2.3,Perpetual Mechanical Array,612823,"<a href=""https://www.youtube.com/watch?v=KnPREDIjbNg"">ARMMANII</a>",Asia,Itto Mona Zhongli Bennett,"Elemental Burst
Food Buff"
2.1,Azhdaha,611617,"<a href=""https://www.youtube.com/watch?v=LnHVVdnXnUw"">Zenryou Keiya</a>",Asia,Raiden Bennett Sucrose Sara,Elemental Burst
2.3,Perpetual Meechanical Array,601013,"<a href=""https://www.youtube.com/watch?v=4qcYjh-h-Yc"">Bossam</a>",America,Zhongli Noelle Bennett Mona,"Elemental Burst
Food Buffs
Downed State"
2.1,Perpetual Mechanical Array,567362,"<a href=""https://www.youtube.com/watch?v=7_H64NoaXug"">chattopotato</a>",Asia,Tartaglia Sucrose Bennett Mona,"Elemental Burst
Food Buff
Downed State"
2.3,Golden Wolflord,550650,"<a href=""https://www.youtube.com/watch?v=t2sFm4gh-Io"">Zenryou Keiya</a>",Asia,Raiden Bennett Sucrose Sara,"Elemental Burst
Food Buffs"
2.2,Perpetual Mechanical Array,541870,"<a href=""https://www.youtube.com/watch?v=d59Grgl3m3Q"">SHOPCHZ</a>",Europe,Zhongli Bennett Mona Noelle,"Elemental Burst
Food Buffs
Downed State"
2.3,Perpetual Mechanical Array,531850,"<a href=""https://youtu.be/aVHuFrv5nLg"">CooL OP</a>",Asia,Raiden Bennett Kazuha Sara,"Elemental Burst
Food Buff
Co op
Downed State"
2.3,Perpetual Mechanical Array,502386,"<a href=""https://www.youtube.com/watch?v=AWB6alJrtSU"">影</a>",Asia,Lisa Sara Kazuha Bennett,"Elemental Skill Hold
Food Buffs
Downed State"
2.2,Perpetual Mechanical Array,471428,"<a href=""https://www.youtube.com/watch?v=e5n_DKCqJbw"">LISEATHAN</a>",Europe,Lisa Sara Bennett Kazuha,"Elemental Skill Hold
Food Buffs
Downed State"
2.1,Perpetual Mechanical Array,428113,"<a href=""https://www.youtube.com/watch?v=urClGWXfxlE&ab_channel=FaRiSuN"" rel=""noopener"" target=""_blank"">FaRiSuN</a>",Europe,Raiden Mona Bennett Kazuha,"Elemental Burst
C0 R1 Raiden"
2.1,Andrius,379069,"<a href=""https://www.youtube.com/watch?v=XMP76WqsNP0&ab_channel=Dendro"" rel=""noopener"" target=""_blank"">Dendro</a>",America,Raiden Kazuha Sara Bennett,Elemental Burst
2.2,Perpetual Mechanical Array,353885,"<a href=""https://www.youtube.com/watch?v=0v8IBG0MrqM"">SHOPCHZ</a>",Asia,Sara Bennett Mona Sayu,Elemental Burst
2.3,Perpetual Mechanical Array,353885,"<a href=""https://youtu.be/0v8IBG0MrqM"">SHOPCHZ</a>",Asia,Sara Bennett Mona Sayu,"Elemental Burst
Food Buff"
2.1,Perpetual Mechanical Array,341838,"<a href=""https://www.youtube.com/watch?v=7AnkB0Xp0VI"">Magiauy</a>",Asia,Ganyu Yanfei Sucrose Bennett,"Charge Shot Bloom
Food Buff
Downed State"
2.3,Maguu Kenki,315247,"<a href=""https://www.youtube.com/watch?v=LPfIxclGNyQ"">Zenryou Keiya</a>",Asia,Lisa Bennett Sara Sucrose,"Elemental Skill Hold
Food Buffs"
2.2,Ruin Guard,304521,"<a href=""https://www.youtube.com/watch?v=wfdI0KQodhA"">Zenryou Keiya</a>",Asia,Keqing Bennett Sucrose Sara,"Plunge Attack
Bounty
Food Buff"
2.1,Andrius,281731,"<a href=""https://www.youtube.com/watch?v=jZzmS6oT_Fk"">SoeRedFox</a>",Europe,Hutao Xingqiu Kazuha Bennett,"Elemental Burst
Food Buff"
2.1,Perpetual Mechanical Array,275346,"<a href=""https://www.youtube.com/watch?v=Bbj7XzdPFHo"">SHOPCHZ</a>",Asia,Venti Bennett Diluc Mona,"Elemental Skill
Food Buff
Downed State"
2.2,Cyro Regisvine,271479,"<a href=""https://www.youtube.com/watch?v=HE1pqr369Ok"">Lao</a>",Europe,Amber Bennett Sucrose Diona,"Elemental Skill
Food Buffs"
2.3,Perpetual Mechanical Array,252043,"<a href=""https://youtu.be/j1WVWWZ4sSo"">BoSSam</a>",America,Xiao Bennett Mona Ayaka,"Elemental Skill
Food Buff
Downed State"
2.3,Masanori,231110,"<a href=""https://www.youtube.com/watch?v=-Qa0cjs9Ecw"">Chopper131047 ช้อปเปอร์</a>",Asia,Xinyan Lisa Eula Bennett,"Elemental Skill
Food Buff"
2.3,Masanori,201328,"<a href=""https://www.youtube.com/watch?v=X8oyu2nkB_w"">Chopper131047 ช้อปเปอร์</a>",Asia,Xinyan Lisa Eula Bennett,"Elemental Skill
Food Buff"
2.2,Perpetual Mechanical Array,186193,"<a href=""https://www.youtube.com/watch?v=x0ACA2sc6Ng"">Shingetsu</a>",Asia,Hutao Xingqiu Amber Sucrose,"Charge Attack
Food Buffs
Downed State"
2.3,Perpetual Mechanical Array,162426,"<a href=""https://youtu.be/hdNNYQEMuzg"">BoSSam</a>",America,Ayaka Bennett Mona Sayu,"Elemental Burst Tick
Food Buff
Downed State"
2.2,Perpetual Mechanical Array,155132,"<a href=""https://www.youtube.com/watch?v=M9EXqV52So4"">sate gagak</a>",Asia,Xiao Bennett Mona Zhongli,"Plunge Attack
Food Buff
Downed State"
2.3,Pyro Regisvine,145564,"<a href=""https://www.youtube.com/watch?v=QUWCbJDTbYE"">Divitium</a>",Asia,Barbara Bennett Yanfei Sucrose,"Charge Attack
Food Buffs"
2.2,Cyro Regisvine,141268,"<a href=""https://www.youtube.com/watch?v=zwsZQFUelVU"">ren</a>",America,Xiao Mona Zhongli Bennett,"Plunge Attack
Food Buffs"
2.3,Thunder Manifestation,128173,"<a href=""https://www.youtube.com/watch?v=TQI8Mp_bawE"">Zenryou Keiya</a>",Asia,Ningguang Bennett Mona Noelle,"Elemental Skill
Food Buffs"
2.3,Cyro Regisvine,122987,"<a href=""https://www.youtube.com/watch?v=ZeV0AcFGpu8"">inoriy401</a>",America,Geo Traveler Mona Zhongli Bennett,"Elemental Skill
Food Buffs"
2.3,Thunder Manifestation,115991,"<a href=""https://www.youtube.com/watch?v=QWT0hsv1-y4"">Zenryou Keiya</a>",Asia,Noelle Bennett Mona Ningguang,Normal Attack
2.2,Cyro Regisvine,111138,"<a href=""https://www.youtube.com/watch?v=xzgIofvnWG4"">Zenryou Keiya</a>",Asia,Ningguang Bennett Mona Noelle,"Elemental Skill
Food Buff"
2.1,"Cryo Regisvine
",103380,"<a href=""https://www.youtube.com/watch?v=xYKKoKJRU60"">Ecarius_</a>",America,Amber Mona Sucrose Bennett,"Elemental Skill
Food Buffs"
2.1,"Cryo Regisvine
",77579,"<a href=""https://www.youtube.com/watch?v=QO3S4GG28Vc"">Ecarius_</a>",America,Amber Mona Sucrose Bennett,Elemental Skill
2.1,Perpetual Mechanical Array,54965,"<a href=""https://www.youtube.com/watch?v=qFKa9Y9H_lo"">Lux</a>",Asia,Ningguang Bennett Zhongli Mona,"Elemental Burst
Food Buff
Downed State"
2.1,Masanori,36852,"<a href=""https://www.youtube.com/watch?v=yDb7Uceob0M"">isekry</a>",Europe,Albedo Razor Ningguang Zhongli,"Elemental Skill
Food Buffs"
2.1,Perpetual Mechanical Array,30950,"<a href=""https://www.youtube.com/watch?v=zIbUbrDOK2U"">Jilanow</a>",Europe,Venti Jean Mona Bennett,"Elemental Burst Tick
Food Buffs
Downed State"
2.1,Childe,25513,"<a href=""https://www.youtube.com/watch?v=QKvIZuBJOsY"">Jilanow</a>",Europe,Venti Mona Klee Bennett,"Elemental Burst Tick
Food Buffs"
