Version,Damage,Alias,Region,Supports,Notes
2.3,3497243,"<a href=""https://www.youtube.com/watch?v=NEMY_IHCeNo"">ARMMANII</a>",Asia,Eula Xinyan Lisa Bennett,"Elemental Burst
Food Buff
Stunned"
2.3,3368048,"<a href=""https://www.youtube.com/watch?v=LcVPpVrYNFk"">crit</a>",America,Bennett Lisa Xinyan,"Elemental Burst
Food Buffs
Stunned"
2.3,3129232,"<a href=""https://www.youtube.com/watch?v=8s9EhhSBfvo"">ReF</a>",Asia,Xinyan Bennett Lisa,"Elemental Burst
Food Buffs
Stunned"
2.1,3107356,"<a href=""https://youtu.be/TG9tIcl1dGQ"">ARMMANII</a>",Asia,Bennett Lisa Xinyan,"Elemental Burst
Food Buffs
Stunned
"
1.6,3016667,"<a href=""https://www.youtube.com/watch?v=Ks9O5vz_c8A"" rel=""noopener"" target=""_blank"">Yorano</a>",Europe,Bennett Lisa Xinyan,"Elemental Burst
Food Buffs
Stunned
Legend of the Vagabond"
2.3,2671383,"<a href=""https://www.youtube.com/watch?v=8-hpBIXApKI"">Hex</a>",Asia,Lisa Bennett Xinyan,"Elemental Burst
Food Buffs
Stunned"
2.2,2662438,"<a href=""https://www.youtube.com/watch?v=5E1OSI06vpc"">riceman89</a>",America,Lisa Xinyan Bennett,"Elemental Burst
Food Buffs"
2.3,2575616,"<a href=""https://www.youtube.com/watch?v=JXejlWzk_3Q"">Hex</a>",Asia,Lisa Bennett Xinyan,"Elemental Burst
Food Buffs
Stunned"
2.1,2558320,"<a href=""https://www.youtube.com/watch?v=l7358RCXbtQ"">Molen Renyah</a>",Asia,Xinyan Lisa Bennett,"Elemental Burst
Food Buff
Stunned"
1.6,2401502,"<a href=""https://youtu.be/k36f76PtHBU"" rel=""noopener"" target=""_blank"">youyou6093</a>",America,Bennett Lisa Xinyan,"Elemental Burst
No Food buffs"
2.3,2321984,"<a href=""https://www.youtube.com/watch?v=CL1LHyM6h_E"">Hex</a>",Asia,Lisa Bennett Xinyan,"Elemental Burst
Food Buffs"
2.3,2144974,"<a href=""https://www.youtube.com/watch?v=PNMsF9Hba9Y"">Momochi</a>",Europe,Raiden Bennett Klee,"Elemental Burst
Food Buffs"
2.3,2130374,"<a href=""https://youtu.be/b5UemfBILzE"">iSilas</a>",Europe,"Xinyan, Bennett, Lisa","Elemental Burst, Food Buffs"
2.3,1687373,"<a href=""https://www.youtube.com/watch?v=Z1UKV2lfXLs"">inoriy401</a>",America,Lisa Xinyan Bennett,"Elemental Burst
Food Buffs"
2.1,450187,"<a href=""https://www.youtube.com/watch?v=TzR5ZETRObE"">σωο</a>",Asia,Raiden Bennett Xinyan,"Elemental Burst
Food Buff
Stunned"
