Version,Damage,Alias,Region,Supports,Notes
2.3,2318565,"<a href=""https://www.youtube.com/watch?v=ZSzz26dr9kY"">Jason</a>",America,Kazuha Mona Bennett,"Elemental Burst
Food Buffs
Stunned"
2.1,2061754,"<a href=""https://youtu.be/v77gdmY6Boo"">Solvi</a>",America,Ayaka Bennett Kazuha,"Elemental Burst 
Food Buffs
Stunned"
2.2,2046041,"<a href=""https://www.youtube.com/watch?v=8SSPztmj3RI"">Chang死神TV</a>",Asia,Ayaka Bennett Kazuha,"Elemental Burst
Food Buffs
Stunned"
2.3,2003349,"<a href=""https://www.youtube.com/watch?v=jvE7aV07sU4"">MalCoa</a>",Asia,Bennett Kazuha Mona,"Elemental Burst
Food Buffs
Stunned"
2.1,1944797,"<a href=""https://youtu.be/irVHsATneCM"">Jason</a>",America,"Ayaka Bennett Kazuha ","Elemental Burst 
Food Buffs
Stunned "
2.1,1914286,"<a href=""https://youtu.be/nA35vYK8A5M"">Solvi</a>",America,Ayaka Bennett Kazuha,"Elemental Burst 
Food Buffs
Stunned"
2.0,1635787,"<a href=""https://youtu.be/ntg_DASzcDQ"">Solvi</a>",America,Ayaka Bennett Kazuha,"Elemental Burst
Food Buffs
"
2.0,1601333,"<a href=""https://youtu.be/vJGedIn-mnM"">Solvi</a>",America,Ayaka Bennett Kazuha,"Elemental Burst 
Food Buffs
"
2.1,1515668,"<a href=""https://www.youtube.com/watch?v=5_W83iYgmCM"">Zexxceed</a>",Asia,Bennett Kazuha Ayaka,"Elemental Burst
Food Buff
Stunned
Coop"
2.2,1432511,"<a href=""https://www.youtube.com/watch?v=Qxwi0SkAoSw"">Rye</a>",Asia,Sucrose Mona Bennett,"Elemental Burst
Food Buffs
Stunned"
2.1,1401327,"<a href=""https://www.youtube.com/watch?v=a8L6mtQnaSM"">MalCoa</a>",Asia,Bennett Kazuha Mona,"Elemental Burst
Food Buffs
Stunned"
2.1,1360299,"<a href=""https://www.youtube.com/watch?v=Bla59-E5bRU"">PikGeast</a>",Asia,Ayaka Kazuha Bennett,"Elemental Burst
Food Buff
Stunned"
1.6,1219005,"<a href=""https://youtu.be/4r7RzrLevis"" rel=""noopener"" target=""_blank"">Solvi</a>",America,Bennett Mona Sucrose,"Elemental Burst
Food Buffs"
2.1,1146958,"<a href=""https://www.youtube.com/watch?v=xXy1bAHX0GI"">jstern25</a>",America,Ayaka Kazuha Bennett,"Elemental Burst
Food Buffs
Stunned"
2.2,1127533,"<a href=""https://www.youtube.com/watch?v=SUhSYV_nvwA"">Stive</a>",Asia,Kazuha Bennett Mona,"Elemental Burst
Food Buffs
Stunned"
2.1,1060185,"<a href=""https://www.youtube.com/watch?v=ho7_NZPsSYU"">kikuchan</a>",Asia,Kazuha Mona Bennett,"Elemental Burst
Food Buff
Stunned"
2.3,1018949,"<a href=""https://www.youtube.com/watch?v=KsVVFSsYFxY"">Mizore</a>",Europe,Bennett Sucrose Mona,"Elemental Burst
Food Buffs
Stunned"
2.3,1018949,"<a href=""https://youtu.be/KsVVFSsYFxY"">Mizore</a>",Europe,Bennett Sucrose Mona,"Elemental Burst
Food Buff"
2.1,742616,"<a href=""https://www.youtube.com/watch?v=BkKFmPlAq-A"">Solvi</a>",America,Bennett Kazuha Ayaka,"Charge Attack
Food Buffs
Stunned"
2.1,610006,"<a href=""https://www.youtube.com/watch?v=ws9GkTDXVRw"">Solvi</a>",America,Bennett Kazuha Ayaka,"Charge Attack
Food Buffs"
2.3,562348,"<a href=""https://www.youtube.com/watch?v=jywBZ68449Q"">EmihAmas</a>",Asia,Kazuha Ayaka Bennett,"Charge Attack
Food Buff"
2.2,458403,"<a href=""https://www.youtube.com/watch?v=5AEQ4EYpWUw"">Lao</a>",Europe,Bennett Sucrose Mona,"Charge Attack
Food Buffs
Stunned"
2.3,443040,"<a href=""https://www.youtube.com/watch?v=kCBcCDcTDNI"">masonrapa</a>",Europe,Mona Kazuha Bennett,"Charge Attack
Food Buffs"
2.3,431366,"<a href=""https://youtu.be/0MFaNymz_ow"">Feiria</a>",Asia,Sucrose Albedo Bennett,"Charge Attack
Food Buffs"
2.3,431079,"<a href=""https://www.youtube.com/watch?v=xnJMNPptNyo"">MNT boss</a>",Asia,Hutao Kazuha Mona Hutao,"Charge Attack
Food Buffs"
2.3,354336,"<a href=""https://youtu.be/2qCwSGVWoBk"">Feiria</a>",Asia,Sucrose Albedo Bennett,"Charge Attack
Food Buffs"
