Version,Damage,Alias,Region,Supports,Notes
2.3,102572,"<a href=""https://youtu.be/u81pzUfaTxo"">BOMBY CH</a>",Asia,"Zhongli, Bennett, Mona","Charge Attack, Food Buffs, Stunned"
2.3,63593,"<a href=""https://www.youtube.com/watch?v=cKYfqx3ihyY"">KaiRu</a>",Asia,Zhongli Mona Bennett,"Elemental Burst
Food Buffs
Stunned"
2.2,60039,"<a href=""https://www.youtube.com/watch?v=xxNwkidZmBQ"">BOMBY CH</a>",Asia,Zhongli Bennett Mona,"Elemental Burst
Food Buffs
Stunned"
2.1,58761,"<a href=""https://www.youtube.com/watch?v=wE6s49vG6o0"">deb</a>",America,Zhongli Mona Bennett,"Charge Attack
Food Buffs"
2.1,58052,"<a href=""https://www.youtube.com/watch?v=xIIqfEGvWsQ"">BOMBY CH</a>",Asia,Zhongli Bennett Mona,"Elemental Burst
Food Buff
Stunned"
2.1,56562,"<a href=""https://www.youtube.com/watch?v=SKFzT0TkM_U"">BOMBY CH</a>",Asia,Zhongli Bennett Mona,"Elemental Burst
Food Buff
Stunned"
2.1,43438,"<a href=""https://www.youtube.com/watch?v=jmPwSgrSK2A"">kzates</a>",America,Zhongli Bennett Mona,"Elemental Burst
food Buffs"
2.3,40041,"<a href=""https://www.youtube.com/watch?v=BJqardZrdHA"">Lux</a>",Asia,Bennett Zhongli Mona,"Elemental Burst
Food Buff"
2.1,35912,"<a href=""https://youtu.be/rRTWvb2M6jE"">Zexxceed</a>",Asia,Bennett Mona Zhongli,"Elemental Burst
Food Buffs"
2.1,35699,"<a href=""https://youtu.be/rEgbYn53RaU"">Lux</a>",Asia,Bennett Mona Zhongli,"Elemental Burst 
Food Buffs"
2.2,34069,"<a href=""https://www.youtube.com/watch?v=cTprd4Z7KzY"">isekry</a>",Europe,Bennett Yanfei Zhongli,"Elemental Burst
Food Buffs"
2.1,30526,"<a href=""https://www.youtube.com/watch?v=QzOzv6TRiVE"">isekry</a>",Europe,Bennett Yanfei Zhongli,"Elemental Burst
Food Buff"
