Version,Damage,Alias,Region,Supports,Notes
2.1,1285345,"<a href=""https://www.youtube.com/watch?v=jhHLRqJg2Tk"">Chang死神TV</a>",Asia,Sara Bennett Kazuha,"Elemental Burst
Food Buff
Stunned"
2.1,1261879,"<a href=""https://www.youtube.com/watch?v=siSm669BwtI"">dreamsick</a>",America,Sara Kazuha Bennett,"Elemental Burst
Food Buffs
Stunned"
2.1,1207979,"<a href=""https://www.youtube.com/watch?v=NJ_M75nfzLs"">Jilanow</a>",Europe,Kazuha Sara Bennett,"Elemental Burst
Food Buffs
Stunned"
2.1,1207365,"<a href=""https://www.youtube.com/watch?v=PsWk-7HiyHk"">Michael</a>",Europe,Kazuha Bennett Sara,"Elemental Burst
Food Buff
Stunned"
2.1,1177846,"<a href=""https://www.youtube.com/watch?v=5Bl8LBr4MjY"">Ei</a>",Asia,Sara Kazuha Bennett,"Elemental Burst
Food Buffs
Stunned"
2.1,1038906,"<a href=""https://www.youtube.com/watch?v=eXpHDO5Vak8"">MalCoa</a>",Asia,Bennett Sucrose Sara,"Elemental Burst
Food Buffs
Stunned"
2.2,1009889,"<a href=""https://www.youtube.com/watch?v=WHizKco91uU"">影</a>",Asia,Kazuha Bennett Sara,"Elemental Burst
Food Buffs"
2.1,1004504,"<a href=""https://youtu.be/6a1fwV0ZRp8"">Jilanow</a>",Europe,Bennett Kazuha Sara,"Elemental Burst
No Food Buffs
Stunned (?)"
2.3,1000362,"<a href=""https://www.youtube.com/watch?v=wuoD9Av4sho"">нчѕтeяıa</a>",Asia,Sucrose Sara Bennett,"Elemental Burst
Food Buffs
Stunned"
2.1,974176,"<a href=""https://www.youtube.com/watch?v=E8QEtNOPpEE"">Sloth</a>",Asia,Sara Sucrose Bennett,"Elemental Burst
Food Buff
Stunned"
2.3,931734,"<a href=""https://www.youtube.com/watch?v=GgO7lN3MD24"">毎日改善</a>",America,Sara Bennett Kazuha,"Elemental Burst
Food Buffs"
2.3,891891,"<a href=""https://www.youtube.com/watch?v=2GE5M6_6PII"">Shadow</a>",America,Kazuha Bennett Sara,"Elemental Burst
Food Buffs"
2.2,855617,"<a href=""https://www.youtube.com/watch?v=mgHRjocKG9c"">нчѕтeяıa</a>",Asia,Sucrose Sara Bennett,"Elemental Burst
Food Buffs"
2.1,838428,"<a href=""https://www.youtube.com/watch?v=WwGH3cDoSDY"">Zades</a>",America,Sara Bennett Kazuha,"Elemental Burst
Food Buffs"
2.1,836159,"<a href=""https://www.youtube.com/watch?v=mAKQ5WSOGxM"">BobbyMcFinnland</a>",America,Mona Sara Sayu,"Elemental Burst
Food Buff"
2.2,828176,"<a href=""https://www.youtube.com/watch?v=KC2MfEjn1PY"">No Mercy</a>",America,Kazuha Bennett Sara,"Elemental Burst
Food Buffs"
2.2,826077,"<a href=""https://www.youtube.com/watch?v=04-rcI5wiyY"">Locked</a>",Asia,Sucrose Sara Bennett,"Elemental Burst
Food Buff"
2.1,825730,"<a href=""https://www.youtube.com/watch?v=YJOELwW0T7I"">Adra</a>",America,Sara Bennett Kazuha,"Elemental Burst
Food Buffs"
2.3,822586,"<a href=""https://www.youtube.com/watch?v=JDgumZQcEi8"">Amroth</a>",Europe,Kazuha Sara Bennett,"Elemental Burst
Food Buff"
2.3,821655,"<a href=""https://youtu.be/L5hJVam_z-w"">Lee</a>"," America","Kazuha, Bennett, Sara","Elemental Burst, Food Buffs"
2.1,767927,"<a href=""https://youtu.be/wtT5OtRgbVk"">Shaft_HeadTilt</a>",Europe,Bennett Kazuha Mona,"Elemental Burst
No Food Buffs
"
2.1,604084,"<a href=""https://www.youtube.com/watch?v=f-2GLLOC8Ck"">Lymania</a>",Europe,Kazuha Sara Bennett,"Elemental Burst
Food Buffs"
2.1,561940,"<a href=""https://www.youtube.com/watch?v=rS6CJeZ6G7U"">Zippers</a>",Europe,Kazuha Bennett Sara,"Elemental Burst
No Food Buffs"
2.1,312593,"<a href=""https://www.youtube.com/watch?v=anL9PhmkTHs&ab_channel=Jatsunami"" rel=""noopener"" target=""_blank"">Green</a>",America,Kazuha Sara Zhongli,"Elemental Burst
No Food Buffs"
