Version,Damage,Alias,Region,Supports,Notes
2.1,1542638,"<a href=""https://www.youtube.com/watch?v=VjyY1q9tcNY"">Chang死神TV</a>",Asia,Mona Bennett Kazuha,"Elemental Burst
Food Buff
Stunned"
2.1,1368113,"<a href=""https://www.youtube.com/watch?v=vmucTZQ1s-g"">Chang死神TV</a>",Asia,Mona Bennett Kazuha,"Elemental Burst
Food Buff
Stunned"
2.1,1347742,"<a href=""https://www.youtube.com/watch?v=GEwrLPxHjjU"">PikGeast</a>",Asia,Mona Kazuha Bennett,"Elemental Burst
Food Buff
Stunned"
2.2,1159389,"<a href=""https://www.youtube.com/watch?v=CwqjIf23_xM"">Zexxceed</a>",Asia,Mona Bennett Kazuha,"Elemental Burst
Food Buff
Stunned
Coop"
2.1,1049860,"<a href=""https://youtu.be/pREJyh7967U"">Shaft_HeadTilt</a>",Europe,Bennett Kazuha Mona,"Elemental Burst
Food Buffs"
2.1,1048602,"<a href=""https://www.youtube.com/watch?v=rG-h4W5YVRA&ab_channel=Pikprakai"" rel=""noopener"" target=""_blank"">PikGeast</a>",Asia,Bennett Kazuha Mona,"Elemental Burst
Food Buffs"
2.3,1023406,"<a href=""https://youtu.be/I67_SsR6vUM"">Skizdal</a>",Europe,Mona Bennett Sucrose,"Elemental Burst 
Food Buff
Stunned"
1.6,915650,"<a href=""https://youtu.be/RWe-EymvrGo"" rel=""noopener"" target=""_blank"">Shaft_HeadTilt</a>",Europe,Bennett Kazuha Mona,"Elemental Burst
Food Buffs
Legend of the Vagabond Day 1"
2.3,909629,"<a href=""https://youtu.be/8QExA6HiVQU"">hvick831</a>",Asia,Bennett Kazuha Mona,"Elemental Burst 
Food Buff"
2.2,646942,"<a href=""https://www.youtube.com/watch?v=-BX_ZrwtZMk"">Z σ σ Ғ</a>",Asia,Sucrose Bennett Zhongli,"Elemental Burst
Food Buffs
Stunned
"
