Version,Damage,Alias,Region,Supports,Notes
2.3,305942,"<a href=""https://www.youtube.com/watch?v=6w8Mf5D4eOY"">Bossam</a>",America,Xiao Bennett Klee Ayaka,"Plunge Attack
Food Buffs
Stunned"
2.3,300685,"<a href=""https://www.youtube.com/watch?v=9HYnYZGF4k8"">Bossam</a>",America,Bennett Klee Ayaka,"Plunge Attack
Food Buffs
Stunned"
2.2,247275,"<a href=""https://www.youtube.com/watch?v=cq22llIqS38"">ใครใจดีขอเห็ดหน่อย</a>",Asia,Ayaka Bennett Klee,"Plunge Attack
Food Buffs
Stunned"
2.2,227718,"<a href=""https://www.youtube.com/watch?v=rIyqHcni1Y4"">MiMeaw</a>",Asia,Jean Bennett Mona,"Plunge Attack
Food Buffs
Stunned"
2.4,215555,"<a href=""https://www.youtube.com/watch?v=940_WzUImXI"">Stivemarp</a>",Asia,Zhongli Bennett Mona,"Plunge Attack
Food Buffs
Stunned"
2.2,186129,"<a href=""https://www.youtube.com/watch?v=WW_IPTy_5ig"">MiMeaw</a>",Asia,Bennett Jean Mona,"Plunge Attack
Food Buffs"
2.1,169184,"<a href=""https://www.youtube.com/watch?v=Fm7pK2AT1s8"">COCO♥</a>",Asia,Jean Bennett Mona,"Plunge Attack
Food Buff"
2.1,162692,"<a href=""https://youtu.be/IynmudCPlzM"">Shintenzu</a>",Europe,Bennett Jean Mona,"Plunge Attack
Food Buffs"
2.2,154027,"<a href=""https://www.youtube.com/watch?v=BDSYFX0Hsms"">Mup</a>",Europe,Bennett Klee Venti,"Plunge Attack
Food Buff
"
2.1,150932,"<a href=""https://www.youtube.com/watch?v=wlVakfvOARs"">Nyanko</a>",Asia,Mona Jean Bennett,"Plunge Attack
Food Buff"
2.3,146544,"<a href=""https://www.youtube.com/watch?v=-DKoM-37cQU"">space</a>",Asia,Bennett Jean Mona,Plunge Attack
2.3,142754,"<a href=""https://youtu.be/6tULWnJHkXw"">Stivemarp</a>",Asia,"Zhongli, Bennett, Mona","Plunge Attack, Food Buffs"
2.1,139509,"<a href=""https://www.youtube.com/watch?v=6eWoWCM-yEU"">normalplayer</a>",Asia,Xiao AnemoMC Mona Bennett,"Plunge Attack
Food Buff"
2.2,135958,"<a href=""https://www.youtube.com/watch?v=NJbASBsIg8g"">alice</a>",Europe,Zhongli Bennett Mona,"Plunge Attack
Food Buffs"
2.1,129714,"<a href=""https://youtu.be/GkGy3n6-QBI"">Zexxceed</a>",Asia,Bennett Mona Zhongli,"Plunge Attack
Food Buffs"
2.2,125088,"<a href=""https://www.youtube.com/watch?v=vlQtbk-Lkx8"">Abz.</a>",Asia,Bennett Mona Zhongli,Plunge Attack
2.1,124591,"<a href=""https://youtu.be/kuTMtClL-hQ"">Cats666</a>",America,"Bennett Mona Zhongli ","Plunge Attack
Food Buffs"
2.1,124293,"<a href=""https://www.youtube.com/watch?v=2PUbHjxwLyk"">Vlad</a>",America,Mona Jean Bennett,"Plunge Attack
Food Buffs"
2.1,112751,"<a href=""https://youtu.be/XkBJRT_7v1M"">Shintenzu</a>",Europe,Bennett Jean Mona,"Plunge Attack
No Food Buffs"
